iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2025 2 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.97 95.65 -8.81 97.01 0.0 0.0 -999.0 187.55 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.14 96.43 -9.16 97.03 0.0 0.0 -999.0 192.55 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.4 97.7 -12.37 97.03 0.0 0.0 -999.0 199.25 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.54 97.1 -13.77 97.06 0.0 5.83 -999.0 205.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 10 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.33 96.11 -8.89 97.13 0.0 45.05 -999.0 196.65 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 11 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.44 94.66 -7.75 97.14 0.0 86.2 -999.0 193.48 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 12 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.24 87.76 -6.61 97.12 0.0 97.83 -999.0 189.88 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 13 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.67 83.2 -6.06 97.15 0.0 79.08 -999.0 190.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 14 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.49 80.05 -5.45 97.15 0.0 35.45 -999.0 191.02 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 15 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.99 79.38 -5.33 97.17 0.0 1.4 -999.0 188.34 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 16 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.5 76.37 -5.26 97.21 0.0 0.0 -999.0 190.26 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 17 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.89 69.79 -4.76 97.25 0.0 0.0 -999.0 190.33 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 18 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.96 68.24 -4.93 97.29 0.0 0.0 -999.0 191.74 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 19 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.54 65.91 -4.56 97.31 0.0 0.0 -999.0 187.88 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 20 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.37 65.6 -4.51 97.25 0.0 0.0 -999.0 185.35 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 21 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.66 70.22 -4.77 97.2 0.0 0.0 -999.0 182.05 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 22 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.38 71.94 -5.23 97.2 0.0 0.0 -999.0 184.41 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 2 23 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.73 73.7 -5.3 97.14 0.0 0.0 -999.0 211.45 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 0 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.89 76.54 -5.61 97.08 0.0 0.0 -999.0 235.14 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 1 0 -999.0 -0.0 -0.0 -999.0 -999.0 0.24 80.98 -5.53 97.04 0.02 0.0 -999.0 244.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 2 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.74 87.71 -5.62 97.0 0.1 0.0 -999.0 253.83 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 3 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.26 91.67 -6.21 96.92 0.15 0.0 -999.0 253.14 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 4 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.41 95.42 -7.82 96.84 0.02 0.0 -999.0 219.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 5 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.51 95.09 -7.99 96.84 0.0 0.0 -999.0 194.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.63 90.14 -7.72 96.8 0.0 0.0 -999.0 185.68 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.78 83.69 -6.95 96.75 0.0 0.0 -999.0 187.56 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.6 77.78 -6.24 96.69 0.0 0.0 -999.0 214.22 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.36 66.46 -6.75 96.6 0.0 3.88 -999.0 228.98 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 10 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.02 61.64 -4.5 96.62 0.0 28.36 -999.0 225.52 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 11 0 -999.0 -0.0 -0.0 -999.0 -999.0 7.88 57.25 -3.09 96.76 0.0 63.98 -999.0 221.43 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 12 0 -999.0 -0.0 -0.0 -999.0 -999.0 10.49 49.66 -2.11 96.96 0.0 87.18 -999.0 208.9 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 13 0 -999.0 -0.0 -0.0 -999.0 -999.0 10.26 49.39 -2.26 97.19 0.0 70.79 -999.0 207.91 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 14 0 -999.0 -0.0 -0.0 -999.0 -999.0 7.98 49.75 -2.95 97.41 0.0 36.41 -999.0 197.13 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 15 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.93 51.62 -4.15 97.54 0.0 1.76 -999.0 191.08 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 16 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.48 57.42 -5.38 97.64 0.0 0.0 -999.0 186.39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 17 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.13 67.18 -6.64 97.73 0.0 0.0 -999.0 182.26 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 18 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.04 73.26 -7.43 97.8 0.0 0.0 -999.0 181.44 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 19 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.77 79.42 -8.7 97.88 0.0 0.0 -999.0 181.13 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 20 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.61 86.08 -9.19 97.92 0.0 0.0 -999.0 181.68 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 21 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.68 88.52 -10.59 97.94 0.0 0.0 -999.0 181.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 22 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.1 90.0 -11.24 98.03 0.0 0.0 -999.0 177.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 3 23 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.84 90.34 -11.19 98.06 0.0 0.0 -999.0 177.16 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 0 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.52 88.36 -11.26 98.08 0.0 0.0 -999.0 181.14 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 1 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.85 88.69 -11.36 98.08 0.0 0.0 -999.0 183.38 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 2 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.19 88.75 -11.17 98.06 0.0 0.0 -999.0 185.8 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 3 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.8 88.36 -11.5 98.06 0.0 0.0 -999.0 187.93 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 4 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.74 89.43 -12.04 98.01 0.0 0.0 -999.0 190.05 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 5 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.95 90.05 -11.94 97.99 0.0 0.0 -999.0 188.34 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.0 90.61 -12.04 97.96 0.0 0.0 -999.0 187.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.89 92.59 -11.79 97.97 0.0 0.0 -999.0 190.72 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.87 92.59 -12.07 97.93 0.0 0.0 -999.0 198.38 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.97 92.42 -11.95 97.93 0.0 7.2 -999.0 198.17 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 10 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.7 89.8 -12.3 97.97 0.0 48.64 -999.0 196.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 11 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.64 88.73 -11.15 97.95 0.0 88.94 -999.0 195.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 12 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.45 85.63 -10.37 97.94 0.0 97.53 -999.0 198.68 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
