iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2026 1 0 0 -999.0 -0.0 -0.0 -999.0 -999.0 6.45 96.17 0.11 96.14 0.25 0.0 -999.0 293.72 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 1 0 -999.0 -0.0 -0.0 -999.0 -999.0 5.57 98.88 0.3 95.89 0.36 0.0 -999.0 292.81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 2 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.58 99.83 0.2 95.67 0.13 0.0 -999.0 302.21 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 3 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.62 99.45 -0.58 95.5 0.06 0.0 -999.0 301.59 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 4 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.1 99.28 -1.05 95.35 0.14 0.0 -999.0 299.06 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 5 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.26 100.0 -1.05 95.23 0.4 0.0 -999.0 293.41 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.23 99.73 -0.94 95.15 0.28 0.0 -999.0 290.31 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.76 97.61 -1.37 95.07 0.07 0.0 -999.0 288.19 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.91 95.8 -1.7 95.04 0.08 0.0 -999.0 273.49 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2026 1 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 4.14 95.72 -1.86 95.01 0.06 3.38 -999.0 262.66 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
